날짜,순위,제목,가수
2023-04-16,13,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023-04-16,14,Attention,NewJeans
2023-04-16,15,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
2023-04-16,16,사건의 지평선,윤하(Younha/ユンナ)
2023-04-16,17,After LIKE,IVE (아이브)
2023-04-16,18,FRIEND THE END,볼빨간사춘기
2023-04-16,19,LOVE DIVE,IVE (아이브)
2023-04-16,20,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023-04-16,21,Cupid (Twin Ver.),FIFTY FIFTY
2023-04-16,22,밤이 무서워요 (Lonely Night),주주 시크릿
2023-04-16,23,Dangerously,Charlie Puth(찰리 푸스)
2023-04-16,24,한 페이지가 될 수 있게,DAY6 (데이식스)
2023-04-16,25,심(心),DK(디셈버)
2023-04-16,26,When I Get Old,Christopher(크리스토퍼)
2023-04-16,27,오르트구름,윤하(Younha/ユンナ)
2023-04-16,28,Poppy (Korean Ver.),STAYC(스테이씨)
2023-04-16,29,사랑인가 봐,멜로망스(MeloMance)
2023-04-16,30,VIBE (feat. Jimin of BTS),태양
2023-04-16,31,Shut Down,BLACKPINK
2023-04-16,32,Candy,NCT DREAM
2023-04-16,33,Nostalgia,우디(Woody)
2023-04-16,34,FEARLESS,LE SSERAFIM (르세라핌)
2023-04-16,35,ELEVEN,IVE (아이브)
2023-04-16,36,사랑이 이별이 돼 가는 모습이,볼빨간사춘기
2023-04-16,37,That's Hilarious,Charlie Puth(찰리 푸스)
2023-04-16,38,너의 모든 순간,성시경
2023-04-16,39,Pink Venom,BLACKPINK
2023-04-16,40,Cookie,NewJeans
2023-04-16,41,그라데이션,10CM
2023-04-16,42,사람 Pt.2 (feat. 아이유),Agust D
2023-04-16,43,STAY,The Kid LAROI
2023-04-16,44,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
2023-04-16,45,Unholy,Sam Smith(샘 스미스)
2023-04-16,46,TOMBOY,(여자)아이들
2023-04-16,47,Say I Love You,우디(Woody)
