날짜,순위,제목,가수
2023-07-19,1,Super Shy,NewJeans
2023-07-19,2,Seven (feat. Latto) - Clean Ver.,정국
2023-07-19,3,New Jeans,NewJeans
2023-07-19,4,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2023-07-19,5,I AM,IVE (아이브)
2023-07-19,6,퀸카 (Queencard),(여자)아이들
2023-07-19,7,헤어지자 말해요,박재정
2023-07-19,8,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
2023-07-19,9,Spicy,aespa
2023-07-19,10,Hype Boy,NewJeans
2023-07-19,11,Kitsch,IVE (아이브)
2023-07-19,12,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
2023-07-19,13,Ditto,NewJeans
2023-07-19,14,Attention,NewJeans
2023-07-19,15,Seven (feat. Latto) - Explicit Ver.,정국
2023-07-19,16,손오공,세븐틴(SEVENTEEN)
2023-07-19,17,OMG,NewJeans
2023-07-19,18,HARD,SHINee (샤이니)
2023-07-19,19,After LIKE,IVE (아이브)
2023-07-19,20,ISTJ,NCT DREAM
2023-07-19,21,Cupid,FIFTY FIFTY
2023-07-19,22,LOVE DIVE,IVE (아이브)
2023-07-19,23,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
2023-07-19,24,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023-07-19,25,Dangerously,Charlie Puth(찰리 푸스)
2023-07-19,26,사건의 지평선,윤하(Younha/ユンナ)
2023-07-19,27,Underwater,권은비
2023-07-19,28,꽃,지수(JISOO)
2023-07-19,29,Roller Coaster,NMIXX
2023-07-19,30,Thirsty,aespa
2023-07-19,31,한 페이지가 될 수 있게,DAY6 (데이식스)
2023-07-19,32,Teddy Bear,STAYC(스테이씨)
2023-07-19,33,예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석 (멜로망스)
2023-07-19,34,SOS,강다니엘(KANG DANIEL)
2023-07-19,35,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023-07-19,36,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
2023-07-19,37,KNOCK,이채연
2023-07-19,38,When I Get Old,Christopher(크리스토퍼)
2023-07-19,39,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
2023-07-19,40,사랑인가 봐,멜로망스(MeloMance)
2023-07-19,41,Allergy,(여자)아이들
2023-07-19,42,심(心),DK(디셈버)
2023-07-19,43,주저하는 연인들을 위해,잔나비
2023-07-19,44,Summer (Feat. BE’O (비오)),Paul Blanco
2023-07-19,45,여름날 (feat. 하현상),볼빨간사춘기
2023-07-19,46,Cream Soda,EXO
2023-07-19,47,오르트구름,윤하(Younha/ユンナ)
2023-07-19,48,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
2023-07-19,49,That's Hilarious,Charlie Puth(찰리 푸스)
2023-07-19,50,잠깐 시간 될까,이무진
2023-07-19,51,Shut Down,BLACKPINK
2023-07-19,52,너의 모든 순간,성시경
2023-07-19,53,STAY,The Kid LAROI
2023-07-19,54,빛이 나는 너에게,던 (DAWN)
2023-07-19,55,ELEVEN,IVE (아이브)
2023-07-19,56,특,Stray Kids (스트레이 키즈)
2023-07-19,57,그라데이션,10CM
2023-07-19,58,FEARLESS,LE SSERAFIM (르세라핌)
2023-07-19,59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2023-07-19,60,TOMBOY,(여자)아이들
2023-07-19,61,Cookie,NewJeans
